title,link,price,rarting,asin
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTEyNDA2MDExNDc2MTIzOjE2NzUzMjM5Njk6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1675323969%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,₹998.00,3.9 out of 5 stars, 
"MOKOBARA Backpack Pro 15.6"" Inch Laptop Backpack For Men And Women (21 litre).",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTEyNDA2MDExNDc2MTIzOjE2NzUzMjM5Njk6c3BfYXRmOjIwMTE1MDI0Mzk3NDk4OjowOjo&url=%2FThe-Backpack-Pro-Deep-Dive%2Fdp%2FB08SWDK9S7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1675323969%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹5,990.00",4.4 out of 5 stars, 
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?keywords=bags&qid=1675323969&sr=8-3,"₹1,299.00",4.1 out of 5 stars, 
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1675323969&sr=8-4,₹565.00,4.3 out of 5 stars, 
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1675323969&sr=8-5,₹669.00,4.1 out of 5 stars, 
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDg5NjY0MTIxMDE5NTg0OjE2NzUzMjM5ODU6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dbags%26qid%3D1675323985%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,₹998.00,3.9 out of 5 stars, 
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDg5NjY0MTIxMDE5NTg0OjE2NzUzMjM5ODU6c3BfYXRmX25leHQ6MjAwODIzOTcyMTM4OTg6OjA6Og&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dbags%26qid%3D1675323985%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,₹599,3.7 out of 5 stars, 
Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_19?keywords=bags&qid=1675323985&sr=8-19,₹689.00,3.9 out of 5 stars, 
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_20?keywords=bags&qid=1675323985&sr=8-20,₹299.00,4.1 out of 5 stars, 
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_21?keywords=bags&qid=1675323985&sr=8-21,₹899,3.9 out of 5 stars, 
